Vessel Name,Port call Type,Port Type,Port At call,ATA/ATD,Origin Port Name,Leg Start Port,Intransit,MMSI,IMO
ZHEJIANDEHUO00789,ARRIVAL,Port,NANTONG,2022-08-23 20:58 UTC,ZHANGJIAGANG,ZHANGJIAGANG,Not in Transit,413822149,0
LANPAN 31,DEPARTURE,Anchorage,SHARJAH ANCH,2022-08-23 20:58 UTC,-,-,Not in Transit,565990000,9734587
VIKENTIOS DAMODOS,ARRIVAL,Port,LIXOURI,2022-08-23 20:58 UTC,ARGOSTOLI,ARGOSTOLI,Not in Transit,239692500,9637375
CAYO LARGO,ARRIVAL,Port,CULEBRA,2022-08-23 20:58 UTC,ROOSEVELT ROADS,ROOSEVELT ROADS,Not in Transit,368237000,9535113
COMANCHE,DEPARTURE,Shelter,BRUNEI BAY,2022-08-23 20:58 UTC,-,-,Not in Transit,538006933,9743289
HU HANG 22,DEPARTURE,Port,SHANGHAI,2022-08-23 20:58 UTC,-,-,Not in Transit,413797293,0
SCAN TRANS,ARRIVAL,Port,SORTLAND,2022-08-23 20:58 UTC,HOFLES,HOFLES,Not in Transit,257228000,7039426
ESTUARY EVORA,ARRIVAL,Port,RAMSGATE,2022-08-23 20:58 UTC,SHEERNESS,LONDON ANCH,Not in Transit,232025144,0
ANGELA,ARRIVAL,Port,BELFAST,2022-08-23 20:58 UTC,TEES,BELFAST ANCH,Not in Transit,205772000,9474541
DEFENDER 6 AIS2,ARRIVAL,Port,BONNY,2022-08-23 20:58 UTC,BONNY,BONNY,Not in Transit,657117300,0
ADMIRALEN,ARRIVAL,Port,SKAVENIK,2022-08-23 20:58 UTC,SUNDE,SUNDE,Not in Transit,258352500,9544580
BLANDINA,DEPARTURE,Port,SLUISKIL,2022-08-23 20:58 UTC,-,-,In Transit,211501520,0
INQUEBRANTABLE,ARRIVAL,Port,ROSARIO,2022-08-23 20:58 UTC,ASUNCION,ASUNCION,Not in Transit,376216000,9280407
SKEENA QUEEN,DEPARTURE,Port,FULFORD HARBOUR,2022-08-23 20:58 UTC,-,-,Not in Transit,316001267,9137090
NIORD,ARRIVAL,Port,VISBY,2022-08-23 20:58 UTC,SODERTALJE,SODERTALJE,Not in Transit,265742940,0
68HOURAIMARU,ARRIVAL,Port,KOKURA,2022-08-23 20:58 UTC,MIKAWA,MIKAWA,Not in Transit,431300447,0
LYNX PILOTS,ARRIVAL,Port,VLISSINGEN STAD,2022-08-23 20:58 UTC,VLISSINGEN STAD,VLISSINGEN STAD,Not in Transit,244780375,0
NP JOY,DEPARTURE,Port,LAEM CHABANG,2022-08-23 20:58 UTC,-,-,Not in Transit,567000017,0
CLONTARF,DEPARTURE,Port,SYDNEY,2022-08-23 20:58 UTC,-,-,Not in Transit,503106810,0
C HORSE,DEPARTURE,Canal,ISTANBUL,2022-08-23 20:58 UTC,-,-,In Transit,671338000,9033701
UNFORGETTABLE,ARRIVAL,Port,VIRGIN GORDA,2022-08-23 20:58 UTC,BEEF ISLAND,BEEF ISLAND,Not in Transit,378111343,9256494
HAIXIAFANGZHOU,ARRIVAL,Anchorage,YANTIAN ANCH,2022-08-23 20:58 UTC,SHENZHEN,HUIZHOU ANCH,Not in Transit,413206690,0
RAJA BASA I,DEPARTURE,Port,MERAK,2022-08-23 20:58 UTC,-,-,Not in Transit,525024001,8807076
ABACAB,ARRIVAL,Port,NIJMEGEN,2022-08-23 20:58 UTC,FRIEDRICHSFELD,FRIEDRICHSFELD,Not in Transit,244023406,0
SEALAND LOS ANGELES,DEPARTURE,Port,LAZARO CARDENAS,2022-08-23 20:58 UTC,-,-,Not in Transit,636017154,9383235
SUN RIVER CITY,ARRIVAL,Marina,HILTON HEAD RV,2022-08-23 20:58 UTC,JACKSONVILLE,JACKSONVILLE,Not in Transit,367590890,8971607
PRINSESSE BENEDIKTE,ARRIVAL,Port,PUTTGARDEN,2022-08-23 20:58 UTC,RODBYHAVN,RODBYHAVN,Not in Transit,219000431,9144421
VIKING EINAR,DEPARTURE,Port,UTRECHT,2022-08-23 20:58 UTC,-,-,Not in Transit,269057687,0
NIEUW HOORN,ARRIVAL,Port,HOORN,2022-08-23 20:58 UTC,ENKHUIZEN,ENKHUIZEN,Not in Transit,244730478,0
FREYA,ARRIVAL,Port,HOUSTON,2022-08-23 20:58 UTC,BREATHWIT SHIPYARD,BREATHWIT SHIPYARD,Not in Transit,368228680,0
TAIKIMARU,DEPARTURE,Port,ITOMAN,2022-08-23 20:58 UTC,-,-,Not in Transit,431015878,0
SAN FELIX,DEPARTURE,Port,SAN ANTONIO,2022-08-23 20:58 UTC,-,-,Not in Transit,538005733,9698630
NOJIMA,ARRIVAL,Port,KAWASAKI,2022-08-23 20:58 UTC,YOKOHAMA,YOKOHAMA,Not in Transit,431009469,0
FRIENDSHIP,DEPARTURE,Port,SYDNEY,2022-08-23 20:58 UTC,-,-,Not in Transit,503345400,8500848
RM LOBOS,DEPARTURE,Port,ILO,2022-08-23 20:58 UTC,-,-,Not in Transit,760000960,0
RESCUE GIDEON,ARRIVAL,Marina,TORNES,2022-08-23 20:58 UTC,HOLLINGSHOLM,HOLLINGSHOLM,Not in Transit,257904900,0
STANFORD,DEPARTURE,Port,ANTWERP,2022-08-23 20:58 UTC,-,-,Not in Transit,205362390,0
MARTA JOSE,DEPARTURE,Port,VIANA DO CASTELO,2022-08-23 20:58 UTC,-,-,Not in Transit,263403780,0
ANNA MUR,ARRIVAL,Port,CARLOFORTE,2022-08-23 20:58 UTC,PORTO VESME,PORTO VESME,Not in Transit,247352700,8120569
ADRIAN JUDE,ARRIVAL,Port,LIPATA,2022-08-23 20:58 UTC,LILOAN FERRY,LILOAN FERRY,Not in Transit,548029300,9009968
C SEPETIBA,ARRIVAL,Offshore Terminal,PETROBRAS 58,2022-08-23 20:58 UTC,PETROBRAS 57,PETROBRAS 57,Not in Transit,710018820,9762003
HISTRIA GIADA,DEPARTURE,Anchorage,MALTA OPL ANCH,2022-08-23 20:58 UTC,-,-,Not in Transit,256625000,9396323
MARGARET OLLEY,DEPARTURE,Port,ERMINGTON,2022-08-23 20:58 UTC,-,-,Not in Transit,503100470,0
SCHWELGERN,DEPARTURE,Port,DUSSELDORF,2022-08-23 20:58 UTC,-,-,In Transit,211482430,0
LIZ ELLIS,DEPARTURE,Port,DOUBLE BAY,2022-08-23 20:58 UTC,-,-,Not in Transit,503106740,0
AURORA CLIPPER,DEPARTURE,Port,LONDON,2022-08-23 20:58 UTC,-,-,Not in Transit,235056987,9451824
YORK 311,DEPARTURE,Port,SINGAPORE,2022-08-23 20:58 UTC,-,-,Not in Transit,563074830,0
MALMO,DEPARTURE,Port,HASSELT,2022-08-23 20:58 UTC,-,-,Not in Transit,244710320,0
JIANGSULUDU3012,DEPARTURE,Port,ZHENJIANG,2022-08-23 20:58 UTC,-,-,Not in Transit,413798749,0
CHARLES HUGHES,ARRIVAL,Port,BALTIMORE,2022-08-23 20:58 UTC,BALTIMORE,BALTIMORE,Not in Transit,368220710,0
MERUADA,ARRIVAL,Port,NIEHL,2022-08-23 20:58 UTC,NEUSS,NEUSS,Not in Transit,244710035,9309356
TUG GALE,ARRIVAL,Marina,AQUALAND,2022-08-23 20:58 UTC,AQUALAND,AQUALAND,Not in Transit,367589210,0
ATLANTIC CEDAR,ARRIVAL,Port,SAINT JOHN,2022-08-23 20:58 UTC,CANAPORT,CANAPORT,Not in Transit,316006025,9324928
96188,DEPARTURE,Anchorage,TIESHAN ANCH,2022-08-23 20:58 UTC,-,-,Not in Transit,413080607,0
CLATSOP SHERIFF,DEPARTURE,Port,ASTORIA,2022-08-23 20:58 UTC,-,-,In Transit,338362488,0
YUESHAOGUANHUO2102,DEPARTURE,Port,SHENZHEN,2022-08-23 20:58 UTC,-,-,In Transit,413982199,0
HAKUYU MARU,DEPARTURE,Port,TOYOHASHI,2022-08-23 20:58 UTC,-,-,Not in Transit,431015607,9858905
DURICHA,ARRIVAL,Port,DUSSELDORF,2022-08-23 20:58 UTC,KREFELD,KREFELD,Not in Transit,244630038,0
JOHN BYRON,DEPARTURE,Anchorage,STANLEY ANCH,2022-08-23 20:58 UTC,-,-,Not in Transit,740420000,0
NOVITAS,ARRIVAL,Port,BRUINISSE,2022-08-23 20:58 UTC,WERKENDAM,WERKENDAM,Not in Transit,244660763,0
AMADEUS STAR,ARRIVAL,Port,PISCHELSDORF,2022-08-23 20:58 UTC,ALTENWORTH,ALTENWORTH,Not in Transit,211216820,0
S 100,ARRIVAL,Port,GYEKPO,2022-08-23 20:58 UTC,WIDO,WIDO,Not in Transit,440062470,0
LIVIA ROSE,DEPARTURE,Anchorage,POZOS COLORADOS ANCH,2022-08-23 20:58 UTC,-,-,Not in Transit,232012746,9803352
PANIA,ARRIVAL,Port,NAPIER,2022-08-23 20:58 UTC,NAPIER,NAPIER,Not in Transit,512000632,0
DON FAUSTO,ARRIVAL,Port,PROGRESO,2022-08-23 20:58 UTC,CIUDAD DEL CARMEN,PROGRESO ANCH,Not in Transit,345070125,0
SAGONE,ARRIVAL,Port,BONNIERES-SUR-SEINE,2022-08-23 20:58 UTC,BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Not in Transit,226005680,0
CAJUN SUN,DEPARTURE,Port,SABINE PASS,2022-08-23 20:58 UTC,-,-,In Transit,319103100,9724025
EMMA KATE,DEPARTURE,Port,CORPUS CHRISTI,2022-08-23 20:58 UTC,-,-,Not in Transit,367757320,0
W. RED HARRIS,ARRIVAL,Marina,FAIRPORT LANDING,2022-08-23 20:58 UTC,QUINCY IL,QUINCY IL,Not in Transit,367371510,7742009
LOURENS SR,DEPARTURE,Port,LINDEN,2022-08-23 20:58 UTC,-,-,In Transit,244700423,0
SEAARK SA05,DEPARTURE,Marina,MARINA VILLAGE,2022-08-23 20:58 UTC,-,-,Not in Transit,338400723,0
ARS VIVENDI,DEPARTURE,Port,NORDERNEY,2022-08-23 20:58 UTC,-,-,Not in Transit,211253930,0
STAR SHRIMPER XXIII,ARRIVAL,Offshore Terminal,BONNY OFFSHORE OT,2022-08-23 20:58 UTC,BONNY OFFSHORE OT,BONNY OFFSHORE OT,Not in Transit,657216600,0
FEMOSUND,DEPARTURE,Marina,FEMO HAVN,2022-08-23 20:58 UTC,-,-,Not in Transit,219000809,9129782
AMAZONE,DEPARTURE,Port,LE HAVRE,2022-08-23 20:58 UTC,-,-,Not in Transit,245718000,9158630
ARDITO,ARRIVAL,Port,LEIMUIDEN,2022-08-23 20:58 UTC,AMSTERDAM,AMSTERDAM,Not in Transit,244620982,0
JIANGSULUDU3006,DEPARTURE,Port,NANTONG,2022-08-23 20:57 UTC,-,-,Not in Transit,413771799,0
YUEHANG328,DEPARTURE,Port,SHENZHEN,2022-08-23 20:57 UTC,-,-,In Transit,413901058,0
AZIZIYE,ARRIVAL,Port,YALOVA,2022-08-23 20:57 UTC,ESKIHISAR,ESKIHISAR,Not in Transit,271047013,9554638
KOTA TAMPAN,ARRIVAL,Port,BUSAN,2022-08-23 20:57 UTC,YOKOHAMA,YOKOHAMA,Not in Transit,563955000,9281346
AJAX,ARRIVAL,Port,ESQUIVEL,2022-08-23 20:57 UTC,PORTLAND BIGHT,PORTLAND BIGHT,Not in Transit,376449000,9901910
TT SHIRLEY ANNE,ARRIVAL,Port,ROSE BAY,2022-08-23 20:57 UTC,DOUBLE BAY,DOUBLE BAY,Not in Transit,985030142,0
EASTERN PERUMAI,ARRIVAL,Port,FUJAIRAH,2022-08-23 20:57 UTC,FUJAIRAH ANCH,FUJAIRAH ANCH,Not in Transit,470272000,0
GREY DAWN,DEPARTURE,Port,ROAD TOWN,2022-08-23 20:57 UTC,-,-,Not in Transit,378112849,0
BORE SEA,ARRIVAL,Port,TRAVEMUNDE,2022-08-23 20:57 UTC,LUBECK,LUBECK,Not in Transit,244130689,9443554
INTINTOLI,ARRIVAL,Port,SAN FRANCISCO,2022-08-23 20:57 UTC,VALLEJO,VALLEJO,Not in Transit,366989360,9144653
CONTRIVIA,ARRIVAL,Port,TOMAKOMAI,2022-08-23 20:57 UTC,BUSAN NEW PORT,BUSAN NEW PORT,Not in Transit,538009632,9907407
ECO TERRA,ARRIVAL,Port,IBIZA,2022-08-23 20:57 UTC,FORMENTERA,FORMENTERA,Not in Transit,225988638,9855288
QIAN ZHOU 166,DEPARTURE,Port,YANGZHOU,2022-08-23 20:57 UTC,-,-,In Transit,413829617,0
SAAM ZAPOTECA,DEPARTURE,Port,NEW PORT VERACRUZ,2022-08-23 20:57 UTC,-,-,Not in Transit,345160005,9289233
RASCASSE,DEPARTURE,Port,NOUMEA,2022-08-23 20:57 UTC,-,-,Not in Transit,540008850,0
AL BAHAR 5,ARRIVAL,Port,FUJAIRAH,2022-08-23 20:57 UTC,KHOR FAKKAN,FUJAIRAH ANCH,Not in Transit,471150000,8873233
LEGEND,ARRIVAL,Port,OSLO,2022-08-23 20:57 UTC,OSLO,OSLO,Not in Transit,259150000,0
WAKE TURBULENCE,DEPARTURE,Marina,YACHT LODGE,2022-08-23 20:57 UTC,-,-,In Transit,368188520,0
SILVER MUSE L B N.5,ARRIVAL,Port,SITKA,2022-08-23 20:57 UTC,SITKA ANCH,SITKA ANCH,Not in Transit,983110119,0
KIMBERLY C,DEPARTURE,Anchorage,MONTOIR ANCH,2022-08-23 20:57 UTC,-,-,Not in Transit,255806518,9558050
FRINGE BENEFIT V,ARRIVAL,Marina,GORDON MARINE,2022-08-23 20:57 UTC,MONTREAL,MONTREAL,Not in Transit,338344865,0
SAINT PATRICK,ARRIVAL,Marina,PORT SAINT PIERRE,2022-08-23 20:57 UTC,LE BAS CROS,LE BAS CROS,Not in Transit,227840390,0
ATHENA,DEPARTURE,Port,JUDITH POINT,2022-08-23 20:57 UTC,-,-,Not in Transit,367151730,8967709
HAI DUONG 19,ARRIVAL,Port,VUNG TAU,2022-08-23 20:57 UTC,VUNG TAU,VUNG TAU,Not in Transit,574003730,9597903
RIO GRANDE,ARRIVAL,Port,ROTTERDAM BOTLEK,2022-08-23 20:57 UTC,DORDRECHT,DORDRECHT,Not in Transit,244670913,0
SHLUZOVOI 26,ARRIVAL,Port,KAZAN,2022-08-23 20:57 UTC,KAZAN,KAZAN,Not in Transit,273341560,0
STANGVIKFJORD,ARRIVAL,Port,KVANNE,2022-08-23 20:57 UTC,KVANNE,KVANNE,Not in Transit,257088710,9855173
TONGA,ARRIVAL,Port,DELFZIJL,2022-08-23 20:57 UTC,GRONINGEN,GRONINGEN,Not in Transit,211508010,0
HEILHORN,ARRIVAL,Port,VENNESUND,2022-08-23 20:57 UTC,HOLM,HOLM,Not in Transit,257099310,9865221
NANUQ,DEPARTURE,Marina,FOURTH STREET PUBLIC,2022-08-23 20:57 UTC,-,-,Not in Transit,316017543,0
ZHE XING HANG 588,DEPARTURE,Port,LANSHAN,2022-08-23 20:57 UTC,-,-,Not in Transit,413299390,0
KMP.TRIMA JAYA 9,DEPARTURE,Port,KETAPANG,2022-08-23 20:57 UTC,-,-,Not in Transit,525021380,9003782
RIJNVAERT,ARRIVAL,Port,BOSKOOP,2022-08-23 20:57 UTC,GOUDA,GOUDA,Not in Transit,244024413,0
ISLAND GWAWIS,ARRIVAL,Marina,NANAIMO BOAT BASIN,2022-08-23 20:57 UTC,NANAIMO BOAT BASIN,NANAIMO BOAT BASIN,Not in Transit,316047946,9900605
TROMSO,ARRIVAL,Port,MERKSEM,2022-08-23 20:57 UTC,ANTWERP,ANTWERP,Not in Transit,244140757,0
BGP EXPLORER,ARRIVAL,Port,ZAKUM,2022-08-23 20:57 UTC,FREE PORT,FREE PORT,Not in Transit,357065000,9441544
ATLANTICO,DEPARTURE,Port,RIO DE JANEIRO,2022-08-23 20:57 UTC,-,-,Not in Transit,710001290,7321324
JENNIFER C,ARRIVAL,Port,ORIENT POINT,2022-08-23 20:57 UTC,NEW LONDON,NEW LONDON,Not in Transit,367742540,8643212
APK,ARRIVAL,Port,WAIHEKE ISLAND,2022-08-23 20:57 UTC,WAIHEKE CAR FERRY,WAIHEKE CAR FERRY,Not in Transit,512009698,0
KULA,ARRIVAL,Marina,NANAIMO BOAT BASIN,2022-08-23 20:57 UTC,NANAIMO BOAT BASIN,NANAIMO BOAT BASIN,Not in Transit,316042661,0
FREGATE,ARRIVAL,Port,DEGRAD DES CANNES,2022-08-23 20:57 UTC,DEGRAD DES CANNES,DEGRAD DES CANNES,Not in Transit,745005800,9828467
TSUKASA,DEPARTURE,Anchorage,KAWASAKI ANCH,2022-08-23 20:57 UTC,-,-,Not in Transit,431004957,9691242
JOINT DECISION,ARRIVAL,Port,KETCHIKAN,2022-08-23 20:57 UTC,PETERSBURG,PETERSBURG,Not in Transit,366882610,0
RADHWA 26,DEPARTURE,Port,YANBU INDUSTRIAL,2022-08-23 20:57 UTC,-,-,Not in Transit,403229580,9781293
AQUABUS JET 2,DEPARTURE,Port,FORMENTERA,2022-08-23 20:57 UTC,-,-,Not in Transit,224839000,9840001
GANZESTAD,DEPARTURE,Port,TERNEUZEN,2022-08-23 20:57 UTC,-,-,In Transit,244650623,0
ZHESHENGYUYUN80558,DEPARTURE,Port,MAJISHAN,2022-08-23 20:57 UTC,-,-,Not in Transit,412428771,0
HUA HAI 21,DEPARTURE,Anchorage,SHIDAO ANCH,2022-08-23 20:57 UTC,-,-,Not in Transit,414155000,9642071
CETACEAN ADVENTURE,DEPARTURE,Marina,WESTPORT FERRY WHARF,2022-08-23 20:57 UTC,-,-,Not in Transit,316022123,0
SHANE GOULD,ARRIVAL,Port,SYDNEY,2022-08-23 20:57 UTC,RODD POINT,RODD POINT,Not in Transit,503376700,9058311
RUN ZE 6,DEPARTURE,Port,JINGJIANG,2022-08-23 20:57 UTC,-,-,In Transit,412429880,0
CUMHURIYET,ARRIVAL,Anchorage,ALIAGA ANCH,2022-08-23 20:57 UTC,KORFEZ,KORFEZ ANCH,Not in Transit,271050337,9817298
TALITHA TENDER,ARRIVAL,Anchorage,PANAREA ANCH,2022-08-23 20:57 UTC,PANAREA,PANAREA,Not in Transit,983100511,0
SOMTRANS V,DEPARTURE,Port,FRIEDRICHSFELD,2022-08-23 20:57 UTC,-,-,Not in Transit,205238190,9204415
RAAN,ARRIVAL,Port,VLISSINGEN STAD,2022-08-23 20:57 UTC,VLISSINGEN STAD,VLISSINGEN STAD,Not in Transit,205650000,9680140
LINDA,DEPARTURE,Port,KNIPPLA,2022-08-23 20:57 UTC,-,-,Not in Transit,265549760,7522148
LI DU 9 HAO,ARRIVAL,Port,JIANGYIN,2022-08-23 20:57 UTC,JIANGYIN,JIANGYIN,Not in Transit,413795506,0
DROTT,DEPARTURE,Marina,MARSTRAND,2022-08-23 20:57 UTC,-,-,Not in Transit,265607230,0
EAGLE EYE I,DEPARTURE,Marina,DISCOVERY HARBOUR,2022-08-23 20:57 UTC,-,-,Not in Transit,316029396,0
RYGERBUEN,DEPARTURE,Port,STAVANGER,2022-08-23 20:57 UTC,-,-,Not in Transit,259551000,9197090
WAKASAMARU,DEPARTURE,Port,NAGOYA,2022-08-23 20:57 UTC,-,-,Not in Transit,431013136,0
CATHERINE HAMLIN,ARRIVAL,Port,SYDNEY,2022-08-23 20:57 UTC,MANLY,MANLY,Not in Transit,503046120,0
CANOPUS VOYAGER,ARRIVAL,Anchorage,POINT LISAS ANCH,2022-08-23 20:57 UTC,BIRKENHEAD,BIRKENHEAD,Not in Transit,311000954,9897846
TERRANOVA,DEPARTURE,Port,CALBUCO,2022-08-23 20:57 UTC,-,-,Not in Transit,725000800,9048213
ILOVIK,ARRIVAL,Port,MERAG,2022-08-23 20:57 UTC,VALBISKA,VALBISKA,Not in Transit,238796840,8736332
FOCAL POINT,ARRIVAL,Port,FUJAIRAH,2022-08-23 20:57 UTC,FUJAIRAH ANCH,FUJAIRAH ANCH,Not in Transit,470964000,8983193
NOJIMA,DEPARTURE,Port,YOKOHAMA,2022-08-23 20:57 UTC,-,-,Not in Transit,431009469,0
P102,ARRIVAL,Port,PARAMARIBO,2022-08-23 20:57 UTC,NIEUW NICKERIE,PARAMARIBO ANCH,Not in Transit,765614000,0
SEASTREAK NEW YORK,ARRIVAL,Marina,ATLANTIC HIGHLANDS,2022-08-23 20:57 UTC,NEW YORK,NEW YORK,Not in Transit,367347130,8967620
CHOPIN,ARRIVAL,Anchorage,TANGER MED ANCH,2022-08-23 20:57 UTC,ALGECIRAS,ALGECIRAS,Not in Transit,636020438,9449120
CIUDAD DE MAHON,DEPARTURE,Port,BARCELONA,2022-08-23 20:57 UTC,-,-,Not in Transit,224692000,9398890
OSPREY 2,DEPARTURE,Marina,FISHERS ISLAND,2022-08-23 20:57 UTC,-,-,In Transit,338119259,0
GAS 91,ARRIVAL,Port,OCHTEN,2022-08-23 20:57 UTC,ANTWERP,ANTWERP,Not in Transit,211626240,0
LOLLAND,ARRIVAL,Port,TARS,2022-08-23 20:57 UTC,SPODSBJERG,SPODSBJERG,Not in Transit,219016555,9594690
AAAAAAAAAAAAAAAAAA,ARRIVAL,Port,QUANZHOU,2022-08-23 20:57 UTC,QUANZHOU ANCH,QUANZHOU ANCH,Not in Transit,416214601,0
SILVER DAWN,DEPARTURE,Port,CATANIA,2022-08-23 20:57 UTC,-,-,Not in Transit,311001044,9857937
CHIEF ARROW,ARRIVAL,Anchorage,ANACORTES ANCH,2022-08-23 20:57 UTC,ANACORTES,ANACORTES,Not in Transit,338010000,0
VIKING STAR,ARRIVAL,Marina,MONTAUK,2022-08-23 20:57 UTC,MONTAUK,MONTAUK,Not in Transit,367337990,0
PASHAJ VIP,ARRIVAL,Anchorage,SARANTE ANCH,2022-08-23 20:57 UTC,SARANDE,SARANDE,Not in Transit,201100174,0
LADY CLARA,ARRIVAL,Port,RIDHAM DOCK,2022-08-23 20:57 UTC,RIDHAM DOCK,RIDHAM DOCK,Not in Transit,305015000,9375800
MENDOCINO,DEPARTURE,Port,LAKSPUR,2022-08-23 20:57 UTC,-,-,Not in Transit,366970020,8967656
SEEKER,ARRIVAL,Port,AUKE BAY,2022-08-23 20:57 UTC,AUKE BAY,AUKE BAY,Not in Transit,367579380,0
D7,ARRIVAL,Port,DEVONPORT,2022-08-23 20:57 UTC,AUCKLAND,AUCKLAND,Not in Transit,512005155,0
ALBATROS,ARRIVAL,Port,NEW PLYMOUTH,2022-08-23 20:57 UTC,NEW PLYMOUTH,NEW PLYMOUTH,Not in Transit,244790087,9671618
NONNI HEBBA,ARRIVAL,Port,BILDUDALUR,2022-08-23 20:57 UTC,BILDUDALUR,BILDUDALUR,Not in Transit,251844340,0
ALMYROS,ARRIVAL,Anchorage,LAS PALMAS ANCH,2022-08-23 20:57 UTC,VILA DO CONDE,VILA DO CONDE,Not in Transit,248779000,9584138
SHE GANG 2 HAO,DEPARTURE,Port,SHEKOU,2022-08-23 20:57 UTC,-,-,Not in Transit,412472840,0
GUANGQIANG6899,ARRIVAL,Port,JINGJIANG,2022-08-23 20:57 UTC,NANJING,NANJING,Not in Transit,413998486,0
PERULPA,ARRIVAL,Port,REDLAND BAY,2022-08-23 20:57 UTC,LAMB,LAMB,Not in Transit,503701100,0
CASCADE,ARRIVAL,Port,VIANEN,2022-08-23 20:57 UTC,NIEUWEGEIN,NIEUWEGEIN,Not in Transit,244660169,0
HARBOURCAT,ARRIVAL,Port,BAYSWATER,2022-08-23 20:57 UTC,AUCKLAND,AUCKLAND,Not in Transit,512001510,0
HAKUNA MATATA,DEPARTURE,Anchorage,CAPRI ANCH,2022-08-23 20:57 UTC,-,-,Not in Transit,232034310,0
MISTER T,ARRIVAL,Port,HUNTS POINT,2022-08-23 20:57 UTC,NEW YORK,NEW YORK,Not in Transit,366993880,8968222
BONANZA,ARRIVAL,Port,OLEN,2022-08-23 20:57 UTC,WIJNEGEM,WIJNEGEM,Not in Transit,244650925,0
GREAT GETAWAY,ARRIVAL,Marina,PILOTTOWN BASIN,2022-08-23 20:57 UTC,LEWES HARBOUR,LEWES HARBOUR,Not in Transit,367390750,0
TT SAMURAI,DEPARTURE,Anchorage,CAPRI ANCH,2022-08-23 20:57 UTC,-,-,Not in Transit,319238500,0
SHIRAKISAN,ARRIVAL,Port,YANAI,2022-08-23 20:57 UTC,MATSUYAMA,MATSUYAMA,Not in Transit,431401978,9296482
36 HANJIN,DEPARTURE,Port,YEOSU,2022-08-23 20:57 UTC,-,-,Not in Transit,440155850,0
LAIZO,ARRIVAL,Port,LA PLATA,2022-08-23 20:57 UTC,ZONA COMUN ANCH,ZONA COMUN ANCH,Not in Transit,701006463,8201894
VALKYRIE,ARRIVAL,Port,WINTHROP,2022-08-23 20:57 UTC,BOSTON,BOSTON,Not in Transit,367699130,0
HG 2 CEYLIN,ARRIVAL,Anchorage,ISTANBUL ANCH,2022-08-23 20:57 UTC,ZEYTINBURNU,ZEYTINBURNU,Not in Transit,271044483,0
FISH ONE,DEPARTURE,Port,GOLETA,2022-08-23 20:57 UTC,-,-,Not in Transit,338140283,0
WADA MARU,DEPARTURE,Port,NAKANOSEKI,2022-08-23 20:57 UTC,-,-,Not in Transit,431009676,0
